source,target
0,5134
0,6045
0,5125
0,3117
0,6636
0,5433
1,2483
1,1984
1,1851
1,2445
1,2414
2,5510
2,5054
2,3534
2,1782
2,3347
2,2998
2,3199
2,3391
2,4132
2,5218
2,5271
3,6003
3,3624
3,2962
3,3716
3,5195
3,3622
3,6074
4,5024
4,6005
4,4965
4,2847
4,1707
5,2917
5,4671
5,1702
5,4069
5,2949
5,2943
5,3309
5,9836
6,3798
6,3062
6,3711
6,1057
6,4451
6,5072
6,6781
7,4683
7,4112
7,6160
7,2960
7,3377
7,6783
7,6785
8,1793
8,6839
8,6572
8,4322
8,3422
8,3494
8,5504
8,5899
9,515
9,610
9,614
9,182
9,325
9,634
10,131
10,557
10,426
10,784
10,41
10,287
11,160
11,52
11,58
11,14
11,60
12,119
12,712
12,354
12,685
12,353
13,529
13,523
13,585
13,109
13,740
14,21
14,24
14,17
14,60
14,43
14,19
14,52
14,58
14,160
15,850
15,452
15,456
15,451
15,455
15,63
15,114
15,158
15,248
15,284
15,316
15,594
15,640
15,653
15,674
15,829
16,702
16,182
16,358
16,610
16,695
17,24
17,21
17,43
17,60
17,160
18,667
18,274
18,151
18,534
18,544
18,698
18,751
19,43
19,58
19,24
19,21
19,60
20,667
20,293
20,702
20,695
20,274
21,24
21,60
21,43
22,187
22,169
22,488
22,720
22,128
22,121
22,376
22,617
23,724
23,726
23,506
23,504
23,713
24,60
24,43
24,58
25,234
25,518
25,136
25,349
25,785
25,105
25,156
25,282
25,507
25,633
25,782
26,323
26,664
26,789
26,276
26,152
26,266
26,576
27,189
27,826
27,188
27,354
27,496
27,119
27,211
27,379
28,853
28,536
28,836
28,419
28,773
28,81
28,362
29,399
29,408
29,237
29,1650
29,79
29,40
29,556
29,580
29,678
29,738
29,761
30,489
30,687
30,609
30,225
30,233
31,799
31,315
31,793
31,614
31,711
31,646
31,657
31,794
32,328
32,175
32,206
32,564
32,178
32,332
33,439
33,821
33,260
33,129
33,586
34,322
34,35
34,72
34,573
34,575
35,322
35,335
35,154
35,573
36,534
36,274
36,560
36,258
36,264
36,624
37,621
37,680
37,827
37,295
37,150
37,106
37,192
38,845
38,174
38,623
38,494
38,261
39,49
39,148
39,115
39,426
39,131
40,326
40,685
40,846
40,802
40,44
40,161
40,631
40,678
40,738
40,806
41,493
41,572
41,784
41,615
41,705
41,216
41,305
41,426
41,569
41,714
42,312
42,558
42,194
42,155
42,175
43,58
44,326
44,806
44,842
44,407
45,564
45,370
45,355
45,200
45,561
46,205
46,826
46,188
46,712
46,189
46,499
47,795
47,779
47,132
47,463
47,816
47,548
47,792
47,855
48,120
48,351
48,287
48,131
48,426
49,148
49,115
49,705
49,784
50,773
50,253
50,419
50,853
50,817
50,340
51,440
51,510
51,153
51,768
51,360
52,160
52,58
52,60
53,611
53,92
53,336
53,238
53,456
53,304
53,497
54,199
54,703
54,359
54,77
54,198
55,639
55,67
55,230
55,736
55,575
55,531
56,785
56,782
56,280
56,777
56,736
57,413
57,130
57,87
57,605
57,142
57,196
58,60
58,160
59,212
59,815
59,813
59,450
59,847
61,524
61,170
61,475
61,788
61,410
61,302
62,549
62,555
62,814
62,851
62,154
63,455
63,452
63,451
63,813
63,540
64,87
64,130
64,413
64,539
64,142
65,811
65,803
65,227
65,99
65,622
65,448
65,485
65,514
65,700
65,708
65,717
66,395
66,670
66,849
66,607
66,123
67,513
67,736
67,230
67,639
67,72
67,108
67,136
67,234
67,383
67,446
67,575
67,578
67,625
67,633
67,735
67,759
68,566
68,155
68,690
68,194
68,427
68,490
69,433
69,544
69,144
69,435
69,434
69,286
69,797
69,804
70,851
70,294
70,639
70,249
70,547
71,706
71,562
71,697
71,713
71,202
72,322
72,513
72,136
73,155
73,194
73,308
73,339
73,566
73,550
73,558
73,699
74,621
74,680
74,520
74,841
74,150
75,688
75,251
75,94
75,133
75,176
75,222
75,250
75,559
75,638
76,198
76,762
76,540
76,212
76,77
76,498
77,470
77,288
77,608
77,437
77,193
78,134
78,79
78,353
78,532
78,354
79,353
79,1650
79,532
79,354
79,408
79,84
79,134
79,164
79,176
79,251
79,311
79,317
79,338
79,399
79,556
79,664
79,685
79,688
79,712
79,738
79,761
79,802
80,365
80,197
80,329
80,403
80,521
80,118
81,362
81,836
81,367
81,853
82,558
82,337
82,334
82,775
82,206
82,332
83,730
83,733
83,834
83,614
83,193
83,217
83,218
83,479
83,728
84,532
84,354
84,408
84,576
84,276
85,656
85,776
85,268
85,780
85,786
86,764
86,799
86,769
86,702
86,695
87,130
87,539
87,413
87,142
87,196
87,324
87,374
87,605
88,127
