inn,profile,proxy_target,synthetic_default,llm_reason
2353023493.0,"старая укоренившаяся компания. прибыльный бизнес, активный рост выручки. финансово устойчивая (капитал покрывает долги). Деятельность ведется в сфере: Сельское хозяйство и охота, локация: krasnodar.",0,0.0,"Несмотря на рост выручки и финансовую устойчивость, сельскохозяйственные предприятия в Краснодарском крае сталкиваются с высокой зависимостью от климатических условий и цен на сырьё. Если рост выручки не сопровождается ростом прибыли (например, из-за роста затрат на удобрения или падения цен на зерно), компания может столкнуться с убытками. Однако текущая структура долга и капитала позволяет покрывать обязательства в краткосрочной перспективе, что снижает риск дефолта."
5018081120.0,"старая укоренившаяся компания. убыточный бизнес, стагнирующая/стабильная выручка. высокая долговая нагрузка (закредитованность). Деятельность ведется в сфере: Строительство, локация: moscow city.",0,1.0,"Высокая долговая нагрузка в строительной сфере Москвы сочетается с убытками и стагнацией выручки. В условиях роста процентных ставок и дефицита ликвидности (из-за высоких обязательств) компания не может покрыть текущие расходы из операционного потока. Убыточность усиливает зависимость от кредитов, что создает каскадный риск дефолта: рост процентных платежей превышает возможные доходы, а стагнация выручки ограничивает возможности рефинансирования."
7811715147.0,"зрелая компания. прибыльный бизнес, активный рост выручки. критический риск (отрицательный капитал при наличии долгов). Деятельность ведется в сфере: Торговля и ремонт автотранспорта, локация: sankt-petersburg.",0,,Ошибка скрипта: Extra data: line 1 column 650 (char 649)
7719487227.0,"зрелая компания. убыточный бизнес, сильное падение выручки. финансово устойчивая (капитал покрывает долги). Деятельность ведется в сфере: Транспортировка и хранение, локация: moscow city.",0,1.0,"Компания, несмотря на финансовую устойчивость (капитал покрывает долги), сталкивается с критическим снижением выручки в условиях зрелого рынка транспортировки и хранения. Убыточный бизнес в Москве City может быть связан с высокими операционными издержками (аренда, логистика) и ухудшением спроса на услуги. Падение выручки без роста прибыли создает риск дефицита ликвидности даже при наличии собственного капитала, особенно если не будет срочной перестройки модели или снижения издержек."
6672348551.0,"старая укоренившаяся компания. прибыльный бизнес, сильное падение выручки. финансово устойчивая (капитал покрывает долги). Деятельность ведется в сфере: Административная деятельность, локация: sverdlovsk.",0,1.0,"Сильное падение выручки в условиях прибыльного бизнеса указывает на ухудшение спроса или конкурентную угрозу. Несмотря на финансовую устойчивость (капитал покрывает долги), снижение выручки может привести к сокращению чистой прибыли, что повышает риск дефолта. Административная деятельность в Свердловске подвержена региональным макроэкономическим факторам (например, сокращение госзакупок или бюджетных программ), которые могут усугубить финансовую ситуацию компании даже при сохранении структуры капитала."
2301083011.0,"старая укоренившаяся компания. прибыльный бизнес, активный рост выручки. критический риск (отрицательный капитал при наличии долгов). Деятельность ведется в сфере: Обрабатывающие производства, локация: krasnodar.",0,1.0,"Компания, несмотря на прибыльный бизнес и рост выручки, сталкивается с критическим риском из-за отрицательного капитала при наличии долгов. Это создает финансовую лавину: даже при росте выручки (revenue_trend_pct > 0) компания не может покрыть обязательства из собственного капитала, что приводит к увеличению долга и снижению ликвидности. В отрасли обрабатывающих производств в Краснодарском крае высокая зависимость от сырьевых цен и логистики усиливает уязвимость: рост выручки может маскировать накопление долгов, а отрицательный капитал (last_cap < 0) делает невозможным погашение долговых обязательств (last_debt), что приведет к дефолту."
7720349454.0,"зрелая компания. убыточный бизнес, сильное падение выручки. финансово устойчивая (капитал покрывает долги). Деятельность ведется в сфере: Торговля и ремонт автотранспорта, локация: moscow city.",0,1.0,"Несмотря на финансовую устойчивость (капитал покрывает долги), убыточный бизнес в условиях сильного падения выручки в конкурентной нише (торговля и ремонт автотранспорта в Москве) создает скрытый риск. Высокие операционные затраты (аренда, логистика, налоги в центре Москвы) и низкая маржинальность в убыточном сегменте могут привести к эрозии капитала даже при стабильной ликвидности. Компания может столкнуться с дефицитом свободных денежных средств, если не сможет перейти на более рентабельные модели (например, сервисы с высокой ценой за обслуживание)."
9701160270.0,"зрелая компания. прибыльный бизнес, активный рост выручки. высокая долговая нагрузка (закредитованность). Деятельность ведется в сфере: Торговля и ремонт автотранспорта, локация: moscow city.",0,1.0,"Высокая долговая нагрузка и низкий собственный капитал (last_cap) создают риски для компании, даже при активном росте выручки (revenue_trend_pct). В условиях сектора автотранспорта (низкая монопольная защита, высокая конкуренция в Москве), рост выручки может быть обусловлен увеличением долга (last_debt), что усугубляет финансовую структуру. Если процентные расходы по долгам превзойдут прибыль (last_prof), компания столкнется с дефицитом ликвидности, особенно в условиях роста ставок или спада спроса на автосервисы."
7842088545.0,"зрелая компания. убыточный бизнес, сильное падение выручки. финансово устойчивая (капитал покрывает долги). Деятельность ведется в сфере: Строительство, локация: sankt-petersburg.",0,1.0,"Несмотря на финансовую устойчивость (капитал покрывает долги), падение выручки в убыточной отрасли строительства с высокой региональной зависимостью (Санкт-Петербург) может привести к накоплению убытков. Убыток, даже при наличии собственного капитала, снижает резервы для погашения долгов в долгосрочной перспективе, особенно если спрос на строительство не восстановится. Снижение выручки в условиях низкой ликвидности и высоких обязательств может привести к дефициту капитала, что повышает риск дефолта."
7805728638.0,"зрелая компания. убыточный бизнес, сильное падение выручки. финансово устойчивая (капитал покрывает долги). Деятельность ведется в сфере: Торговля и ремонт автотранспорта, локация: sankt-petersburg.",0,1.0,"Несмотря на финансовую устойчивость (капитал покрывает долги), сильное падение выручки в зрелой компании из сферы автосервиса в Санкт-Петербурге указывает на системные риски. Убыточный бизнес может быть связан с неэффективностью модели, снижением спроса на услуги (например, из-за перехода клиентов на цифровые сервисы или электромобили), а также высокой конкуренцией. Даже при наличии достаточного капитала, падение выручки может привести к росту долговой нагрузки на текущие обязательства (last_debt), если не будет роста выручки или снижения издержек. Компания может столкнуться с дефицитом ликвидности в условиях ухудшения макроэкономической среды, что повышает риск дефолта."
7719116825.0,"старая укоренившаяся компания. прибыльный бизнес, стагнирующая/стабильная выручка. высокая долговая нагрузка (закредитованность). Деятельность ведется в сфере: Профессиональная и научная деятельность, локация: moscow city.",0,1.0,"Высокая долговая нагрузка в условиях стагнации выручки создает риски дефолта даже при положительной прибыли. В сфере профессиональной и научной деятельности высокие капитальные затраты на R&D требуют постоянного финансирования, но стабильная выручка не покрывает процентные платежи по долгам. При этом рост собственного капитала (last_cap) может быть ограничен из-за низкой ликвидности научных активов, что усиливает зависимость от кредиторов и повышает вероятность дефолта."
7839489064.0,"старая укоренившаяся компания. прибыльный бизнес, активный рост выручки. финансово устойчивая (капитал покрывает долги). Деятельность ведется в сфере: Административная деятельность, локация: sankt-petersburg.",0,0.0,"Несмотря на прибыльный бизнес и рост выручки, административные услуги в Санкт-Петербурге демонстрируют высокую зависимость от государственных контрактов. Если регион сталкивается с санкциями или снижением бюджетных расходов, даже финансово устойчивая компания может столкнуться с резким падением спроса на услуги. Дополнительно, рост выручки без соответствующего увеличения собственного капитала (last_cap) может привести к риску дефолта из-за ускоренной эмиссии долга."
9718105648.0,"зрелая компания. убыточный бизнес, сильное падение выручки. финансово устойчивая (капитал покрывает долги). Деятельность ведется в сфере: Торговля и ремонт автотранспорта, локация: moscow city.",0,1.0,"Компания находится в зрелой стадии, но убыточная деятельность в условиях падения выручки (в сегменте с высокой конкуренцией и локализацией в Москве) создает риск дефолта. Даже при финансовой устойчивости (капитал покрывает долги), длительный убыток может привести к эрозии ликвидности, особенно если падение выручки связано с снижением спроса на услуги автосервиса или переходом клиентов на более дешевые альтернативы. В условиях роста цен на запчасти и инфляции убыток может усугубиться, что приведет к необходимости рефинансирования долга из убытков — высокий риск дефолта."
6623122897.0,"зрелая компания. убыточный бизнес, стагнирующая/стабильная выручка. финансово устойчивая (капитал покрывает долги). Деятельность ведется в сфере: Профессиональная и научная деятельность, локация: sverdlovsk.",0,1.0,"Несмотря на финансовую устойчивость (capital > debt), убыточный бизнес с стагнирующей выручкой создает риск истощения собственного капитала. В условиях нестабильной экономики Свердловской области и возможного снижения спроса на научные услуги, постоянные убытки могут привести к дефициту капитала даже при наличии текущего покрытия долгов. Это создает скрытый риск дефолта в долгосрочной перспективе."
7751154159.0,"зрелая компания. убыточный бизнес, сильное падение выручки. финансово устойчивая (капитал покрывает долги). Деятельность ведется в сфере: Торговля и ремонт автотранспорта, локация: moscow city.",0,1.0,"Несмотря на финансовую устойчивость (capital > debt), падение выручки в условиях высокой конкуренции в Москве City и убыточный бизнес создают риск дефолта. Убыток при сильном падении выручки указывает на неспособность покрыть издержки, что может привести к истощению резервов капитала даже при наличии финансовой подушки. В условиях ухудшения макроэкономической среды (например, снижение спроса на автосервисы) компания не сможет компенсировать потери, что увеличивает вероятность дефолта."
7731349745.0,"зрелая компания. прибыльный бизнес, активный рост выручки. высокая долговая нагрузка (закредитованность). Деятельность ведется в сфере: Административная деятельность, локация: moscow city.",0,1.0,"Высокая долговая нагрузка и рост выручки в условиях административной деятельности в Москве создают риск дефолта. Даже при прибыльном бизнесе, если рост выручки не компенсирует растущие процентные платежи по кредитам (особенно в условиях возможного роста ставок), компания может столкнуться с ликвидностью. Административная деятельность в Москве подразумевает высокие операционные расходы на аренду и коммунальные услуги, что снижает маржинальную эффективность. Если чистая прибыль не покрывает долговые обязательства, это приведет к дефолту."
1650236855.0,"старая укоренившаяся компания. прибыльный бизнес, сильное падение выручки. финансово устойчивая (капитал покрывает долги). Деятельность ведется в сфере: Обрабатывающие производства, локация: tatarstan.",0,1.0,"Сильное падение выручки в условиях устойчивой финансовой структуры может быть признаком системного спада в отрасли или регионе (Татарстан). Обрабатывающие производства чувствительны к колебаниям сырьевых цен и спроса на готовую продукцию. Даже при наличии капитала, длительное падение выручки снижает ликвидность и увеличивает вероятность убытков, что может привести к дефолту, если компания не успеет адаптироваться к новым рыночным условиям."
6686012400.0,"старая укоренившаяся компания. прибыльный бизнес, активный рост выручки. финансово устойчивая (капитал покрывает долги). Деятельность ведется в сфере: Административная деятельность, локация: sverdlovsk.",0,0.0,"Несмотря на стабильность и рост выручки, административная деятельность в Свердловске демонстрирует скрытые риски: зависимость от бюджетных контрактов (например, госзакупок) может привести к сезонным колебаниям прибыли. Если рост выручки достигнут за счет увеличения долгосрочных обязательств (не указано в данных), это создает латентный риск дефолта. Финансовая устойчивость сейчас — временный фактор, а не гарантия."
7810622108.0,"зрелая компания. прибыльный бизнес, активный рост выручки. высокая долговая нагрузка (закредитованность). Деятельность ведется в сфере: Строительство, локация: sankt-petersburg.",0,1.0,"Активный рост выручки в строительной отрасли Санкт-Петербурга может быть связан с увеличением долговых обязательств, что создает риски несбалансированного финансирования. В условиях высокой закредитованности и низкой ликвидности (поскольку строительство требует значительных вложений), даже прибыльный бизнес может столкнуться с дефицитом собственного капитала, особенно если рост выручки не сопровождается ускорением денежного потока или снижением долговой нагрузки. Это создает риск дефолта из-за неспособности покрыть краткосрочные обязательства прибылью."
