source,target
0,3577
0,6849
0,9925
0,9563
0,2900
0,2904
0,3117
1,1919
1,2414
1,1977
1,2016
1,2439
2,3499
2,6634
2,4486
2,4561
2,3938
3,3877
3,3852
3,6352
3,3
3,5520
3,3162
3,3225
3,6784
4,4879
4,5024
4,5877
4,9730
4,4615
5,2965
5,5560
5,3699
5,4866
5,3316
6,6781
6,5055
6,6640
6,3806
6,3798
7,6148
7,4559
7,6147
7,4525
7,4532
8,3494
8,1793
8,6839
8,4322
8,5504
8,5899
9,76
9,799
9,411
9,89
9,285
10,131
10,287
10,30
10,351
10,120
10,39
10,440
11,52
11,160
11,58
11,21
11,14
12,78
12,134
12,133
12,354
12,826
13,529
13,697
13,381
13,706
13,137
13,109
13,739
14,21
14,24
14,60
14,43
14,17
15,512
15,527
15,591
15,659
15,456
16,698
16,16
16,318
16,711
16,839
16,215
17,43
17,21
17,60
17,24
17,19
18,649
18,534
18,414
18,751
18,574
19,52
19,58
19,160
19,43
20,397
20,310
20,292
20,839
20,318
21,24
21,60
21,43
22,272
22,483
22,376
22,620
22,307
23,464
23,357
23,352
23,330
23,465
23,90
23,364
23,683
24,60
24,43
25,34
25,25
25,383
25,446
25,785
25,35
25,56
25,62
25,105
25,116
25,230
25,234
25,282
25,314
25,322
25,513
25,518
25,549
25,573
25,575
25,584
25,590
25,759
25,777
25,782
25,807
25,814
25,852
26,277
26,806
26,46
26,679
26,326
27,213
27,189
27,27
27,133
27,75
27,185
28,817
28,820
28,405
28,836
28,841
29,846
29,399
29,678
29,266
29,250
30,687
30,658
30,489
30,241
30,661
30,516
30,585
31,285
31,411
31,799
31,89
31,86
32,178
32,45
32,328
32,391
32,798
32,427
32,550
33,439
33,195
33,840
33,821
33,586
34,34
34,383
34,446
34,785
34,35
34,56
34,62
34,105
34,116
34,230
34,234
34,282
34,314
34,322
34,513
34,518
34,549
34,573
34,575
34,584
34,590
34,759
34,777
34,782
34,807
34,814
34,852
35,383
35,446
35,785
35,518
36,649
36,534
36,414
36,751
36,574
37,150
37,196
37,621
37,106
37,74
38,845
38,775
38,494
38,727
38,174
39,49
39,148
39,115
39,687
39,305
40,441
40,326
40,262
40,399
40,580
41,426
41,705
41,714
41,615
41,493
41,572
41,784
42,490
42,558
42,710
42,337
42,409
43,43
43,60
44,157
44,596
44,403
44,592
44,593
44,848
45,178
45,45
45,328
45,391
45,798
46,806
46,277
46,571
46,688
47,816
47,463
47,779
47,735
47,758
48,351
48,120
48,287
48,572
48,705
49,115
49,148
49,330
49,319
50,817
50,820
50,405
50,836
50,841
51,103
51,613
51,502
51,153
51,510
51,431
51,522
51,651
51,768
52,160
52,58
52,60
53,59
53,182
53,92
53,184
53,198
54,470
54,193
54,479
54,831
54,612
54,199
54,371
54,606
54,695
55,639
55,93
55,531
55,321
55,810
55,67
55,70
56,383
56,446
56,785
57,396
57,539
57,413
57,57
57,64
57,87
57,130
57,142
57,520
58,160
58,58
58,60
59,59
59,182
59,92
59,184
59,198
59,210
59,219
59,220
59,304
59,336
59,361
59,373
59,497
59,567
59,610
59,611
59,635
